id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	gmon	gcom	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	head	body	foot	misc	pathcost	startdom	inn	F	A	W	E	S	D	N	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	voidsanity	darkvision	blind	animalawe	awe	halt	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	disbel	reform	regeneration	reanimator	barbs	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	sacr	ivylord	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	unique	fixedname	special	nametype	type	typeclass	from	summon	n_summon	autosum	n_autosum	batstartsum1	batstartsum2	domsummon	n_domsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	baseleadership	explodeondeath	startaff	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamiabonus	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	reform	battlesum5	acidsplash	drake	prophetshape	horror	enchrebate50	heroarrivallimit	sailsize	uwdamage	landdamage	test
1	Grigori	92							158				1		0	0	0	1	4	4	30	2	20	30	15	7	7	10	3	2	12				0	0	0	3670	10000	2	1	1	1	2																																																				1																																																																																																																								1	Grigorius			c	Commander	Wish																										0																																																							
2	Standard	6	21						116	127	4		1		10020	20	20	1	2	2	10	0	10	10	10	10	10	10	3	2	12				40	0	0	22	50	2	1	1	1	2																																																																							1		1																																																																																																							u	Unit	Recruitment																										40																																																							
3	Serpent Cataphract	357	494						126	14	2		1		10045	60	90	30	3	2	12	0	10	12	12	12	12	8	4	2	16		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																							4									u	Unit	Recruitment																										40																																																							
4	Serpent	495											1		0	0	0	1	3	3	28	17	5	14	13	13	10	5	3	2	20				40	0	0	15	31	0	0	0	0	2																																					1	1																																1																																																																																																										u	Unit	Recruitment																										40																																																							
5	Serpent Lord	357	494						126	14	2		1		10045	60	90	30	3	2	15	0	11	15	13	14	13	8	3	2	16		1		60	0	0	22	50	2	1	1	0	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
6	Emerald Lord	8							126	14	4		1		10030	30	90	1	2	2	15	0	12	16	13	15	14	10	3	2	12				80	0	0	27	50	2	1	1	1	2																																																																																																																																																																																c	Commander	Recruitment																										80																																																							
7	Emerald Guard	8							126	14	4		1		10025	25	55	1	2	2	13	0	10	14	12	13	12	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																													3																																																																																																			u	Unit	Recruitment																										40																																																							
11	Retiarius	263	3						7	123			1		8	8	8	-13	2	2	12	0	10	14	12	11	13	10	3	2	10				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																														singlebattle		u	Unit	Recruitment																										40																																																							
12	Gladiator	16							7	123			1		8	8	8	-13	2	2	12	0	10	14	12	11	13	10	3	2	10				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																														singlebattle		u	Unit	Recruitment																										40																																																							
13	Hoplite Commander	28							14	123	2		1		10015	15	75	1	2	2	13	0	10	13	12	12	12	10	2	2	12				80	0	0	27	50	2	1	1	1	2																																																																							1																																																																																																									c	Commander	Recruitment																										80																																																							
14	Hoplite	28							14	123	2		1		10013	13	40	1	2	2	11	0	10	11	11	11	10	10	3	1	12				40	0	0	22	50	2	1	1	1	2																																																																							1																																																																																																									u	Unit	Recruitment																										40																																																							
15	Hypaspist Commander	1							9	123	2		1		10010	10	70	1	2	2	13	0	10	14	12	12	13	10	3	2	13				80	0	0	27	50	2	1	1	1	2																																																																							1																																																																																																									c	Commander	Recruitment																										80																																																							
16	Hypaspist	1							9	123	2		1		10016	16	45	1	2	2	11	0	10	13	11	11	12	10	3	2	13				40	0	0	22	50	2	1	1	1	2																																																																							1																																																																																																									u	Unit	Recruitment																										40																																																							
17	Archer	9	23						5	120			1		10010	10	40	1	2	2	10	0	10	8	10	8	8	10	4	1	11				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
18	Militia	1							5	119	2		1		10007	7	35	1	2	2	10	0	10	8	10	8	8	10	4	1	11				40	0	0	22	50	2	1	1	1	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
19	Heavy Cavalry	4	8	56					17	118	3		1		10020	35	65	20	3	2	10	0	10	10	10	10	10	10	5	2	20		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
20	Heavy Cavalry	357	56						12	118	2		1		10015	30	60	6	3	2	10	0	10	10	10	10	10	10	5	2	22		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
21	Heavy Cavalry	4	15	56					18	118	3		1		10020	35	65	20	3	2	10	0	10	11	10	10	10	10	5	2	20		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
22	Knight	4	8	56					18	21	3		1		10025	40	70	20	3	2	11	0	10	13	11	11	11	10	5	2	20		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
23	Knight Commander	4	13	56					18	21	3		1		10020	35	65	20	3	2	12	0	10	14	12	12	12	10	5	2	20		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																c	Commander	Recruitment																										40																																																							
24	Light Cavalry	1	21						5	120			1		10010	25	55	1	3	2	10	0	10	10	10	10	10	8	4	3	26		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
25	Light Cavalry	1	23						10	120			1		10010	25	55	1	3	2	10	0	10	10	10	10	10	8	4	3	25		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
26	Light Cavalry	1	23						6	1	120		1		10010	25	55	1	3	2	10	0	10	10	10	10	10	8	4	3	24		1		40	0	0	22	50	2	1	1	0	2																																																																																																																																																																																u	Unit	Recruitment																										40																																																							
27	Centaur	24	55	9									1		10025	25	60	1	3	2	20	3	13	11	13	10	14	12	3	3	30				40	0	0	37	90	2	1	1	0	2																																								1																40								1																																																																																																															109	u	Unit	Recruitment																										40																																																							
