id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	test
1	The Smouldercone	5	0	0	Fire	4															Heat																																																				923	89	87																											
2	The Coral Towers	5	0	0	Water			5																																			209																														102	104																												
3	Cathedral of the Spheres	5	0	0	Astral		2	1		5																																	51																														41																													
4	Swamps of Pythia	5	0	1	Nature																																						1831																														296					1840																								
5	Forest of Avalon	5	0	0	Nature							3																															65	64																													212	2128																												
6	Tower of Avalon	5	0	0	Nature		2																																																																		151	153																												
7	The Keep of Ulm	5	0	0	Earth																																						66																														1973	1982	113																											
8	The Forges of Ulm	5	0	0	Earth				5																																																																																													
9	The Temple City	5	0	0	Death						4	2																															783																														177	1366																												
10	Tower of a Thousand Stars	5	0	0	Astral					4		1																															747																														301																													
11	The Citadel of Frozen Crystal	5	0	0	Water		3	2																																			2547	358																																																										
12	Empoisoners Guild	5	0	0	Nature																																						503																														502																													
13	The House of Fiery Justice	5	0	0	Holy	4				1																																																								50%							222	223																												
14	The Grove of Gaia	5	0	0	Nature							5																															769																																																											
15	The Halls of Andvare	5	0	0	Earth				3																																		463																														323																													
16	Iron Woods	5	0	0	Nature					1	2	2																															784																														785																													
17	The Sunken City	5	0	0	Astral			2		3																																																																																												
18	Ravens Vale	5	0	0	Death																																						414																																																											
19	Hidden Grove	5	0	0	Nature																																																																				516																													
20	Surakid's Tower	5	0	1	Astral					4	2																																																																																											
21	Mine of the Cyclops	5	0	0	Earth				2		2																																																																																											
22	Bolivar's Tower of Reflections	5	0	3	Air		4																																																																												341																			
23	The Unholy Sepulchre	5	0	0	Holy						8																																																																																											
24	The Unholy Sepulchre	5	0	0	Holy						15																																																																																											
25	The Unholy Sepulchre	5	0	0	Holy						22																																																																																											
26	Starke's Ice Cave	5	0	1	Water			4													Cold																																																																																	
27	The Queen's Galley	5	0	1	Death						3																																																																																											
28	Hoburg	5	0	0	Earth							1				50																																																																																						
29	The Ruined Keep	5	0	0	Death						2																																1020																														2477																													
30	Temple of the Land	5	0	0	Blood							1																															726																														732																													
31	Temple of the Rain	5	0	0	Blood			1																																																																	733																													
32	Temple of the Moon	5	0	0	Blood					1																																																															734																													
33	High Temple of the Sun	5	0	0	Blood	2							3																														725																														735																													
34	House of Fiery Justice	5	0	0	Holy	4				1																																	135																								50%																																			
35	Vanhalla	5	0	0	Air		2																																				262	261																													948																													
36	Oleg's Alchemical Device	5	0	1	Fire									100																																																																																								
37	The Deepest Cave of the Province	5	0	2	Earth				1																																																																																													
38	Temple of the Everburning Pyre	5	0	0	Fire	1																																					990																														1970	1966																												
39	The Smouldercone	5	0	0	Fire	3															Heat																																																				923	89																												
40	The Citadel of Frozen Crystal	5	0	0	Water		1	1																																			2576																														1004																													
41	Ravens Vale	5	0	0	Earth				1		1																																2548	1280																													1003																													
42	Black Forest	5	0	0	Nature					1		1																																																													1028	1011																												
43	The Sacred Swamp	5	0	1	Nature							3																															1859	1850																													1879	761																												
44	The Black Temple	5	0	0	Holy																																						738																														1237																													
45	The Void Gate	5	0	0	Astral																																											20%																									332																													
46	Niefelheim	5	0	0	Air			4			2																																845	1310																													844																													
47	Well of Urd	5	0	0	Astral					2	1	1																															784																														281																													
48	The Grove of Gaia	5	0	0	Nature							5																															787																																																											
49	The Grove of Gaia	5	0	0	Nature				1			3																															704																																																											
50	The Heavenly Gate	5	0	0	Astral		1			2																															S	1																															803																													
51	The Celestial City	5	0	0	Holy			1	1																																		791																														793	1892																												
52	The Celestial City	5	0	0	Holy				1		1																																1577																																																											
53	The Bamboo Grove	5	0	0	Nature																																						1544																														940																													
54	The Gate of Spring and Autumn	5	0	0	Astral	1		2		2	1																														S	1																															941																													
55	Temple of the Dead	5	0	0	Death						3																																1654																														1655																													
56	Forest of Avalon	5	0	0	Nature							2																															851																																																											
57	Avalon	5	0	0	Nature		3																																				849																														850	848	856																											
58	Vanhalla	5	0	0	Air		3		1																																		262																														263	264																												
59	Helhalla	5	0	0	Death		1																																				855	1503																													1507	847																												
60	God Forest	5	0	0	Nature	1						2																															889																														890																													
61	God Mountain	5	0	0	Earth				2																																*	1	876																														894	891	877																											
62	The Temple Marsh	5	0	0	Nature			1			2	2																															164	2236	2237																												2238																													
63	The City of Tombs	5	0	0	Death	1					3																																1166																														1095																													
64	Temple of the Spheres	5	0	0	Astral					1																																																															670																													
65	The Desert Eye	5	0	0	Astral					3																																																	40%																																											
66	Gold Mine	5	0	0	Earth									60																																																																																								
67	Silver Mine	5	0	0	Earth									40																																																																																								
68	Copper Mine	5	0	0	Earth									20																																																																																								
69	Iron Mine	5	0	0	Earth										40																																																																																							
70	Naval Academy	5	0	0	Water		1			2																																																															1030	1032																												
