id	name	rarity	description	requirements	effects
1	A festival was held in your honor. Every	-1	A festival was held in your honor. Everyone was celebrating and faith has increased in the province.	mydominion 1|pop 50	incdom 3
2	A magnificent statue was raised in your 	-1	A magnificent statue was raised in your honor.	temple 1|mydominion 2|pop 200	incdom 4|decscale1 Turmoil
3	The tax collection went unexpectedly wel	-1	The tax collection went unexpectedly well.	pop 800	gold 300
4	A traders' guild has been established in	-2	A traders' guild has been established in the province, permanently increasing tax revenues from the province.	pop 400	landgold 50
5	A group of zealots has joined your armie	-2	A group of zealots has joined your armies.	dominion 3|land 1	nation -2|10d6units Flagellant
6	A wave of religious zeal has swept the p	-2	A wave of religious zeal has swept the province and a group of followers committed to your cause has joined your armies.	dominion 2|land 1|pop 50|unluck 0	nation -2|16d6units Militia
7	Many commoners are volunteering to serve	-1	Many commoners are volunteering to serve in the militia.	maxunrest 3|pop 100	defence 15
8	One of your bailiffs is afraid of bandit	-1	One of your bailiffs is afraid of bandits.	minunrest 5|pop 50	defence 10
9	A prospector genius has found a small go	-1	A prospector genius has found a small gold deposit.		gold 200
10	A prospector genius has found a small go	-1	A prospector genius has found a small gold deposit.	luck 2	gold 400
11	A prospector genius has found a small go	-1	A prospector genius has found a small gold deposit.	luck 3	gold 800
12	A tribal chief from a distant land has d	-1	A tribal chief from a distant land has donated gold and a precious item to the Awakening God.	dominion 5|era 1	gold 150|magicitem 2
13	One of the local nobles is afraid of upr	-1	One of the local nobles is afraid of uprisings.	minunrest 5|pop 50	defence 10
14	A pedlar was peddling his wares in the p	-1	A pedlar was peddling his wares in the province when one of your agents discovered a few magic gems of various types among his glass pearls and buttons. They were swiftly and forcefully bought at the price God intended.	pop 50	1d3gems all7|gold -1
15	A band of robbers has been rooted out an	-1	A band of robbers has been rooted out and their treasures confiscated.	minunrest 3	gold 250|unrest -10
16	A band of robbers has been rooted out an	-1	A band of robbers has been rooted out and their treasures confiscated.	minunrest 3|order 2	gold 350|unrest -20
17	A handful of gems have been found in a h	-1	A handful of gems have been found in a hot valley.	pop0ok 1|heat 1	1d6gems Fire
18	A handful of gems have been found in a h	-1	A handful of gems have been found in a hot valley.	pop0ok 1|heat 1|luck 0	1d6gems Fire
19	A handful of gems have been found in a h	-1	A handful of gems have been found in a hot valley.	pop0ok 1|heat 2|luck 0	2d6gems Fire
20	A local wizard has been lynched after al	-1	A local wizard has been lynched after allegations of turning a peasant into a frog. His magical resources have been transported to the lab.	chaos -1|pop 10|land 1	1d6gems Fire|1d6gems Astral
21	A local mage has been lynched after alle	-1	A local mage has been lynched after allegations of turning a peasant into an oyster. His magical resources have been transported to the lab.	chaos -1|pop 10|land 0	1d6gems Fire|1d6gems Astral
22	A handful of gems have been found in the	-1	A handful of gems have been found in the shards of a broken mirror.	pop0ok 1	1d6gems Air
23	A handful of gems have been found in the	-1	A handful of gems have been found in the shards of a broken mirror.	pop0ok 1|luck 1	1d6gems Air
24	A handful of gems have been found in the	-1	A handful of gems have been found in the shards of a broken mirror.	pop0ok 1|luck 2	2d6gems Air
25	A magical bird of wondrous colors has be	-1	A magical bird of wondrous colors has been found. Small gems were hidden in its feathers.	land 1|unluck -1	1d3gems Elemental
26	A magical bird of wondrous colors has be	-1	A magical bird of wondrous colors has been found. Small gems were hidden in its feathers.	land 1|luck 2	1d6gems Elemental
27	A magical bird of wondrous colors has be	-1	A magical bird of wondrous colors has been found. Small gems were hidden in its gut.	land 1|luck 3	1d6gems Elemental
28	A magical fish of wondrous colors has be	-1	A magical fish of wondrous colors has been caught. Small gems were found in its belly.	land 0|unluck -1	1d3gems Elemental
29	A magical fish of wondrous colors has be	-1	A magical fish of wondrous colors has been caught. Small gems were found in its belly.	land 0|luck 2	1d6gems Elemental
30	A magical fish of wondrous colors has be	-1	A magical fish of wondrous colors has been caught. A handful of small gems were found in its belly.	freshwater 1|luck 0|magic -1	1d6gems Elemental
31	A handful of gems have been found in a s	-1	A handful of gems have been found in a small stream.	land 1|unluck -1	1d3gems Water
32	A handful of gems have been found in a s	-1	A handful of gems have been found in a small stream.	land 1|luck 1	1d6gems Water
33	A few magic gems have been found in an e	-1	A few magic gems have been found in an enormous icicle.	pop0ok 1|land 1|cold 2	2d6gems Water
34	A handful of magic gems have been found 	-1	A handful of magic gems have been found in a deep ravine.	pop0ok 1	1d6gems Earth
35	A handful of magic gems were found under	-1	A handful of magic gems were found under a huge rock.	pop0ok 1|unluck -1	1d6gems Earth
36	A handful of magic gems were found under	-1	A handful of magic gems were found under a huge rock.	pop0ok 1|luck 2	1d6gems Earth
37	A handful of magic gems were found under	-1	A handful of magic gems were found under a huge rock.	pop0ok 1|luck 3	2d6gems Earth
38	A handful of magic gems have been found 	-1	A handful of magic gems have been found on a starry night.	pop0ok 1|magic 1	2d6gems Astral
39	A handful of magic gems have been found 	-1	A handful of magic gems have been found in an abandoned graveyard.	pop0ok 1|death 1	2d6gems Death
40	A few magic gems have been found in the 	-1	A few magic gems have been found in the moss growing in a torture chamber.	pop0ok 1|land 0	nation 5|1d6gems Fire
41	A few magic gems have been found in the 	-1	A few magic gems have been found in the black algae covering the floors of a torture chamber.	pop0ok 1|land 0	1d6gems Death
42	A handful of magic gems have been found 	-1	A handful of magic gems have been found in the verdant greenery.	growth 1	1d6gems Nature
43	A few gems have been found in the split 	-1	A few gems have been found in the split trunk of an oak.	land 1|unluck -1	1d6gems Nature
44	Magical gems have been found in the spli	-1	Magical gems have been found in the split trunk of an oak.	land 1|luck 0	2d6gems Nature
45	A local slave-lord is seeking absolution	-1	A local slave-lord is seeking absolution for his sins. He has donated some virgins to your cause.	pop 100|land 1|unluck -1	1d6gems Slaves
46	A local slave-lord is seeking absolution	-1	A local slave-lord is seeking absolution for his sins. He has donated all his virgins and a chest of gold to your cause.	pop 100|land 1|luck 2|rare 70	4d6gems Slaves|gold 150
47	The tax collectors did a magnificent job	-1	The tax collectors did a magnificent job and managed to tax the hidden reserves of the local lords.	pop 800|luck 1|turn 5	gold 1000
48	A magic item has been found and transpor	-1	A magic item has been found and transported to the arcane laboratory.	maxunrest 50|magic 3|unluck -1	magicitem 2
49	A magic item has been found and transpor	-1	A magic item has been found and transported to the arcane laboratory.	maxunrest 50|magic 3|luck 2	magicitem 3
50	A market was held in the province. Merch	-1	A market was held in the province. Merchants from far and wide gathered and there was much commerce.	noseason 3|pop 100|order 1	gold 500
51	A market was held in the province. Merch	-1	A market was held in the province. Merchants from far and wide gathered and there was much commerce.	noseason 3|pop 100|order 1|era 3	gold 1000
52	A wealthy merchant from a distant land h	-1	A wealthy merchant from a distant land has married his daughter to a prominent priest of the faith. A pile of gold and a remarkable item were accepted as offerings by the temple.	order 1|dominion 5|noera 1	gold 300|magicitem 2
53	A priest of the faith has been blessing 	-1	A priest of the faith has been blessing the crops throughout the province. People are happy, faith has increased and much wealth has been donated by merry farmers.	growth 1|dominion 3	gold 200|incdom 1
54	A priest of the faith has been preaching	-1	A priest of the faith has been preaching and warning people of the end of the world. People are frightened and come to the temples to seek comfort. Faith has increased and much wealth has been donated to the temple.	chaos 0|dominion 3	gold 300|incdom 1|unrest 10
55	A wealthy merchant has donated a sculptu	-1	A wealthy merchant has donated a sculpture of solid gold to the temple.	order 1|dominion 5|noera 1	gold 250
56	A famous circus has been touring in the 	-1	A famous circus has been touring in the province. This resulted in extra taxes in addition to the good luck that a circus always brings.	pop 500|order 0|growth 0|maxunrest 25|noera 1	gold 200|decscale2 Misfortune
57	A freak show with local talents has gain	-1	A freak show with local talents has gained fame and is now known throughout the neighboring provinces as well. People are proud of their misfits and taxes have increased.	pop 500|chaos 2|maxunrest 25	gold 150|decscale1 Turmoil|unrest -25
58	Playful winds have been captured, distil	-1	Playful winds have been captured, distilled into diamonds and transported to your laboratory by your mages.	land 1|season 0	2d6gems Air
59	Playful winds have been captured, distil	-1	Playful winds have been captured, distilled into diamonds by your mages.	land 1|season 0|luck 30|magic 0	4d6gems Air|assassin 0
60	A spring fairy has been sighted, spreadi	-1	A spring fairy has been sighted, spreading joy and laughter in the land.	season 0|land 1	unrest -50|decscale3 Death|decscale2 Misfortune
61	The summer heat has been distilled into 	-1	The summer heat has been distilled into glowing rubies by a young mage.	land 1|season 1	1d6gems Fire
62	This summer is unusually hot. In the ash	-1	This summer is unusually hot. In the ashes of a burning bush a small amount of gems were found.	land 1|season 1|heat -1	2d6gems Fire
63	This summer is unusually hot. In the ash	-1	This summer is unusually hot. In the ashes of a burning bush a small amount of gems were found.	land 1|season 1|heat -1|luck 3	4d6gems Fire
64	Fallen leaves and magic gems have been f	-1	Fallen leaves and magic gems have been found in a badger's den.	land 1|season 2	2d6gems Earth
65	Heavy autumn rains caused a landslide, r	-1	Heavy autumn rains caused a landslide, revealing a buried cache of magic gems underneath the soil.	pop0ok 1|land 1|season 2	1d3gems all7
66	Heavy autumn rains caused a landslide, r	-1	Heavy autumn rains caused a landslide, revealing a buried cache of magic gems underneath the soil.	pop0ok 1|land 1|season 2|luck 3	1d6gems all7
67	A few ice crystals of fantastical propor	-1	A few ice crystals of fantastical proportions have fallen in the province.	pop0ok 1|land 1|season 3	2d6gems Water
68	The hard working farmers of the province	-1	The hard working farmers of the province managed to harvest some sturdy crops even during winter. The farmers were overjoyed and managed to pay some extra tax as well.	maxunrest 50|season 3|prod 0|growth 0	unrest -15|gold 100
69	The hard working farmers of the province	-1	The hard working farmers of the province managed to harvest some sturdy crops even during winter. The farmers were overjoyed and managed to pay some extra tax as well.	maxunrest 50|season 3|prod 2|growth 1	unrest -15|taxboost 200
70	A mild winter has enabled your traders t	-1	A mild winter has enabled your traders to travel extensively and livestock to survive the winter.	maxunrest 50|season 3	unrest -20|gold 150
71	A young farmer stealing food from squirr	-1	A young farmer stealing food from squirrels found some gems among the acorns and donated them to the temple.	season 3|land 1|temple 1|growth 0	1d6gems Nature
72	A handful of magic fire gems were found 	-1	A handful of magic fire gems were found by digging in a spot where the snow would not settle.	season 3|land 1|cold 1	1d6gems Fire
73	A handful of magic gems have been found 	-1	A handful of magic gems have been found in the prime of the season.	noseason 2|noseason 3	1d6gems Nature
74	Magic gems have been found in the prime 	-1	Magic gems have been found in the prime of the season.	luck 2|noseason 2|noseason 3	4d6gems Nature
75	The harvest has been good.	-1	The harvest has been good.	maxunrest 50|noseason 0|noseason 3|growth -1	unrest -20|taxboost 100
76	The harvest has been truly exceptional.	-1	The harvest has been truly exceptional.	maxunrest 50|noseason 0|noseason 3|growth 1	unrest -30|taxboost 250
77	A handful of magic gems have been found 	-1	A handful of magic gems have been found in the prime of the season.	noseason 0|noseason 1	1d6gems Death
78	A handful of magic gems have been found 	-1	A handful of magic gems have been found in the prime of the season.	luck 3|noseason 0|noseason 1	4d6gems Death
