id	name	school	researchlevel	path1	pathlevel1	path2	pathlevel2	effect_record_id	effects_count	precision	fatiguecost	gemcost	next_spell	description	test
0	Nothing	-1	1	-1	0	-1	0	618	0	0	0	0	0		
1	Area Minor Stun Shock	-1	1	-1	0	-1	0	619	1	0	0	0	0		
2	Area Major Stun Shock	-1	1	-1	0	-1	0	620	1	0	0	0	0		
3	Large Area Heat Shock	-1	1	-1	0	-1	0	621	1	0	0	0	0		
4	Mark	-1	1	-1	0	-1	0	622	1	0	0	0	0		
5	Thunder Shock	-1	1	-1	0	-1	0	623	1	0	0	0	6		
6	Large Area Stun Shock and Damage	-1	1	-1	0	-1	0	624	1	0	0	0	31		
7	Minor Fear	-1	1	-1	0	-1	0	625	1	0	0	0	0		
8	Area Weak Poison	-1	1	-1	0	-1	0	626	1	0	0	0	0		
9	Minor Chill Stun	-1	1	-1	0	-1	0	627	1	0	0	0	0		
10	Army of Zombies	-1	1	-1	0	-1	0	628	2010	-2	0	0	0		
11	Area Decay	-1	1	-1	0	-1	0	629	1	0	0	0	0		
12	Court of Flame Childs	-1	1	-1	0	-1	0	630	15	0	0	0	0		
13	Area Rust	-1	1	-1	0	-1	0	631	1	0	0	0	0		
14	Returning	-1	1	-1	0	-1	0	632	1	0	0	0	0	The caster creates a rift in space that sucks him through, sweeping him back to the home citadel. It is a very fast and very dangerous way of teleporting. If the caster is unlucky he might get lost in time and might return later, not all all or completely insane. The spell will not work on other planes or if the home citadel is controlled by the enemy.	
15	Area Paralyze	-1	1	-1	0	-1	0	633	1	0	0	0	0		
16	Court of Undines	-1	1	-1	0	-1	0	634	15	0	0	0	0		
17	Summon Longdeads	-1	1	-1	0	-1	0	635	5	0	0	0	0		
18	Summon Devil	-1	1	-1	0	-1	0	636	1	0	0	0	0		
19	Fire Resistance	-1	1	-1	0	-1	0	637	1	0	0	0	0	This spell makes units highly resistant to fire and flames. It also reduces the heat effect from hot creatures, such as Abysians and Salamanders.	
20	Large Area Decay	-1	1	-1	0	-1	0	638	1	0	0	0	0		
21	Major Fear	-1	1	-1	0	-1	0	639	1	0	0	0	0		
22	Summon 2 Imps	-1	1	-1	0	-1	0	640	2	0	0	0	0		
23	Summon Vine Man	-1	1	-1	0	-1	0	641	1	0	0	0	0		
24	Area Feeble Mind	-1	1	-1	0	-1	0	642	1	0	0	0	0		
25	10 Trolls	-1	1	-1	0	-1	0	643	10	0	0	0	60		
26	20 imps	-1	1	-1	0	-1	0	644	20	0	0	0	0		
27	Gaia benar	-1	1	-1	0	-1	0	645	1	0	0	0	0		
28	Court of Gnomes	-1	1	-1	0	-1	0	646	15	0	0	0	0		
29	Court of Sylphs	-1	1	-1	0	-1	0	647	15	0	0	0	0		
30	Lingering Heat	-1	1	-1	0	-1	0	648	1	0	0	0	0		
31	Large Area Shock	-1	1	-1	0	-1	0	649	1	0	0	0	0		
